id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
61267,"Av. Barão do Rio Branco, 2644 - Cristo Redentor, Castanhal - PA, 68742-000, Brasil",Norte,Pará,CASTANHAL,CRISTO REDENTOR,,,-1.2919325079091146,-47.95068797723173,"07/12/2023, 19:00:00",true,true,Sem informação,Briga,,Presídio,false,7ff5f596-05ad-40a4-aa26-8043c55cc72f,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,presídio,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61353,"Avenida Júlio César, 2772-3032 - Souza, Belém - PA, 68447-000, Brasil",Norte,Pará,BELEM,SOUZA,,,-1.4118149," -48.4614658","08/12/2023, 18:00:00",false,false,Não se aplica,Tentativa/Roubo,,,false,1e06d32e-d87b-4690-b579-974590968d01,People,dead,Sem identificação,"08/12/2023, 18:00:00",Civilian,,adulto,homem cis,Branca,outros,em serviço,Motorista de aplicativo,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61321,"R. Opala, Fazendinha - Paracuri, Belém - PA, 66814-410, Brasil",Norte,Pará,BELEM,PARACURI,,FAZENDINHA,-1.3145319,-48.4734285,"09/12/2023, 21:00:00",true,true,Sem informação,Ação policial,,,false,5e05ba88-066c-47d1-bc31-9eb76678208c,People,dead,Sem identificação,"09/12/2023, 21:00:00",Civilian,,adulto,homem cis,Negra,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61296,"PA-483 (Alça Viária) - Vila dos Cabanos - Barcarena, PA, Brasil",Norte,Pará,BARCARENA,VILA DOS CABANOS,,,-1.682477,-48.581099,"10/12/2023, 02:00:00",true,true,14° BPM,Ação policial,,,false,c4b224b6-a12f-4a11-920c-f07522934a55,People,dead,Sem identificação,"10/12/2023, 02:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61296,"PA-483 (Alça Viária) - Vila dos Cabanos - Barcarena, PA, Brasil",Norte,Pará,BARCARENA,VILA DOS CABANOS,,,-1.682477,-48.581099,"10/12/2023, 02:00:00",true,true,14° BPM,Ação policial,,,false,a16bccd4-747a-46e9-b7eb-244490240715,People,dead,Sem identificação,"10/12/2023, 02:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61314,"Comunidade do Araticum, Barcarena, PA, Brasil",Norte,Pará,BARCARENA,CENTRO,,,-1.5551994284262656,-48.61528663229228,"10/12/2023, 11:00:00",false,false,Não se aplica,Homicidio/Tentativa,,,false,95d46bdf-29a0-4aac-bf48-3a732de62c5f,People,dead,Encontro de cadáver,"10/12/2023, 11:00:00",Civilian,,adulto,homem cis,Negra,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61323,"Barreiro, Belém - PA, 66117-140, Brasil",Norte,Pará,BELEM,BARREIRO,,,-1.4139701066749892,-48.48448972984154,"11/12/2023, 09:00:00",true,true,28º BPM,Ação policial,,,false,cb260fac-fe3f-4e0d-a521-ecdd8047f2c4,People,dead,Sem identificação,"11/12/2023, 09:00:00",Civilian,,adulto,homem cis,Negra,residência,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61362,"Tv. Marquês de Pombal (Feira do Açai) - Campina, Belém - PA, Brasil",Norte,Pará,BELEM,CAMPINA,,,-1.4536804,-48.5044056,"12/12/2023, 00:00:00",false,false,NÃO SE APLICA,Homicidio/Tentativa,,,false,2b9bd019-ae58-4b82-9446-d953aca40818,People,dead,Sem identificação,"12/12/2023, 00:00:00",Civilian,,adulto,homem cis,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61372,"Al. Pão de Açúcar - Conj. Paar, Ananindeua - PA, 67103-220, Brasil",Norte,Pará,ANANINDEUA,PAAR,,,-1.338312302332203,-48.3917452957683,"12/12/2023, 14:00:00",true,true,29 BPM,Tentativa/Roubo,,,false,e7d2e31d-1af3-42db-ba99-0de54ddc1056,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61398," Tenoné, Belém - PA, 66820-160, Brasil",Norte,Pará,BELEM,TENONE,,,-1.3190610713448503,-48.440979110276665,"14/12/2023, 09:00:00",true,true,Sem informação,Ação policial,,,false,469a1fa8-ee43-48ab-86c0-184197f06fb5,People,dead,Sem identificação,"14/12/2023, 09:00:00",Civilian,,adulto,homem cis,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
